Name,CellId,Angle,TerrainType,Slope,Lane0,Lane1,Lane2,Lane3,Lane4,Lane5
89,89,0,0,15,3,1,0,2,4,5
90,90,0,0,15,3,1,0,2,4,5
91,91,0,0,15,4,2,0,1,3,5
92,92,0,0,12,5,3,1,0,2,4
93,93,0,0,15,5,3,1,0,2,4
94,94,0,0,12,5,4,2,0,1,3
95,95,0,0,12,5,4,3,1,0,2
96,96,0,0,12,5,4,3,2,0,1
97,97,0,0,5,5,4,3,2,0,1
98,98,0,0,0,5,4,3,2,1,0
99,99,0,0,-5,5,4,3,2,1,0
100,100,5,0,-2,5,4,3,2,1,0
101,101,5,0,-2,5,4,3,2,1,0
102,102,10,0,0,5,4,3,2,1,0
103,103,20,0,5,5,4,3,2,1,0
104,104,20,0,8,5,4,3,2,1,0
105,105,10,0,10,5,4,3,2,1,0
106,106,5,0,8,5,4,3,2,1,0
107,107,5,0,8,5,4,3,2,1,0
108,108,0,0,8,5,4,3,2,1,0
109,109,0,0,10,5,4,3,2,1,0
110,110,0,0,8,5,4,3,2,1,0
111,111,0,0,8,5,4,3,2,1,0
112,112,0,0,6,5,4,3,2,1,0
113,113,5,0,4,5,4,3,2,1,0
114,114,5,0,4,5,4,3,2,1,0
115,115,5,0,5,5,4,3,2,1,0
116,116,5,0,8,5,4,3,2,1,0
117,117,5,0,5,5,4,3,2,1,0
118,118,5,0,2,5,4,3,2,1,0
119,119,10,0,-2,5,4,3,2,1,0
120,120,10,0,0,5,4,3,2,1,0
121,121,10,0,2,5,4,3,2,1,0
122,122,10,0,-2,5,4,3,2,1,0
123,123,10,0,-5,5,4,3,2,1,0
124,124,5,0,-8,5,4,3,2,1,0
125,125,0,0,-8,5,4,3,2,1,0
126,126,0,0,-15,5,4,3,2,1,0
127,127,0,0,-12,5,4,3,2,1,0
128,128,5,0,-18,5,4,3,2,1,0
129,129,5,0,-23,5,4,3,2,1,0
130,130,5,0,-15,5,4,3,2,1,0
131,131,5,0,-15,5,4,3,2,1,0
132,132,0,0,-12,5,4,3,2,1,0
133,133,0,0,-10,5,4,3,2,1,0
134,134,0,0,-10,5,4,3,2,1,0
135,135,0,0,-10,5,4,3,2,1,0
136,136,0,0,-8,5,4,3,2,1,0
137,137,0,0,-15,5,4,3,2,1,0
138,138,0,0,-12,5,4,3,2,1,0
139,139,0,0,-12,5,4,3,2,1,0
140,140,0,0,-12,5,4,3,2,1,0
141,141,0,0,-12,5,4,3,2,1,0
142,142,5,0,-12,5,4,3,2,1,0
143,143,5,0,-15,5,4,3,2,1,0
144,144,5,0,-12,5,4,3,2,1,0
145,145,5,0,-15,5,4,3,2,1,0
146,146,10,0,-5,5,4,3,2,1,0
147,147,10,0,-5,5,4,3,2,1,0
148,148,10,0,-5,5,4,3,2,1,0
149,149,5,0,0,5,4,3,2,1,0
150,150,0,0,0,5,4,3,2,1,0
